Cidade,Distância_MST_(m),Distância_real(m),len_POIs
"São Luís, Maranhão, Brasil",44557.324475073976,31270.80451328279,18
"Teresina, Piauí, Brasil",2899.157113457987,1735.0647293723232,3
"Fortaleza, Ceará, Brasil",31729.842070472238,19703.096054911628,15
"Natal, Rio Grande do Norte, Brasil",34621.05432693129,22538.667244320048,12
"João Pessoa, Paraíba, Brasil",36446.448105513424,22422.317071622932,37
"Recife, Pernambuco, Brasil",42174.48380277606,29656.908978558648,68
"Maceió, Alagoas, Brasil",34049.50859456287,24660.869056846215,15
"Aracaju, Sergipe, Brasil",18360.544961173888,11360.93262625513,9
"Salvador, Bahia, Brasil",84083.12472587138,55304.80873197346,39
